company,regulator,metric,period,period_start,period_end,value,currency,unit,scale,basis,filing_identity,filing_title,filing_period,filed_at,url,api_exact_match,document_value_match,public_link_status,status
Apple Inc.,sec,revenue,2025-annual,2024-09-29,2025-09-27,416161000000.0000,USD,USD,1,entity_total_dimensionless_context,0000320193-25-000079,Form 10-K (FY2025),2025-annual,2025-10-31,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm,True,True,document_downloaded_http_200,candidate_source_supported
MICROSOFT CORP,sec,eps,2023-annual,2022-07-01,2023-06-30,9.7200,USD,USD_PER_SHARE,1,entity_total_dimensionless_context,0000950170-23-035122,Form 10-K (FY2023),2023-annual,2023-07-27,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/msft-20230630.htm,True,True,document_downloaded_http_200,candidate_source_supported
MICROSOFT CORP,sec,eps_diluted,2023-annual,2022-07-01,2023-06-30,9.6800,USD,USD_PER_SHARE,1,entity_total_dimensionless_context,0000950170-23-035122,Form 10-K (FY2023),2023-annual,2023-07-27,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/msft-20230630.htm,True,True,document_downloaded_http_200,candidate_source_supported
MICROSOFT CORP,sec,net_income,2023-annual,2022-07-01,2023-06-30,72361000000.0000,USD,USD,1,entity_total_dimensionless_context,0000950170-23-035122,Form 10-K (FY2023),2023-annual,2023-07-27,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/msft-20230630.htm,True,True,document_downloaded_http_200,candidate_source_supported
MICROSOFT CORP,sec,operating_income,2023-annual,2022-07-01,2023-06-30,88523000000.0000,USD,USD,1,entity_total_dimensionless_context,0000950170-23-035122,Form 10-K (FY2023),2023-annual,2023-07-27,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/msft-20230630.htm,True,True,document_downloaded_http_200,candidate_source_supported
MICROSOFT CORP,sec,revenue,2023-annual,2022-07-01,2023-06-30,211915000000.0000,USD,USD,1,entity_total_dimensionless_context,0000950170-23-035122,Form 10-K (FY2023),2023-annual,2023-07-27,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/msft-20230630.htm,True,True,document_downloaded_http_200,candidate_source_supported
MICROSOFT CORP,sec,eps,2024-annual,2023-07-01,2024-06-30,11.8600,USD,USD_PER_SHARE,1,entity_total_dimensionless_context,0000950170-24-087843,Form 10-K (FY2024),2024-annual,2024-07-30,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm,True,True,document_downloaded_http_200,candidate_source_supported
MICROSOFT CORP,sec,eps_diluted,2024-annual,2023-07-01,2024-06-30,11.8000,USD,USD_PER_SHARE,1,entity_total_dimensionless_context,0000950170-24-087843,Form 10-K (FY2024),2024-annual,2024-07-30,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm,True,True,document_downloaded_http_200,candidate_source_supported
MICROSOFT CORP,sec,net_income,2024-annual,2023-07-01,2024-06-30,88136000000.0000,USD,USD,1,entity_total_dimensionless_context,0000950170-24-087843,Form 10-K (FY2024),2024-annual,2024-07-30,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm,True,True,document_downloaded_http_200,candidate_source_supported
MICROSOFT CORP,sec,operating_income,2024-annual,2023-07-01,2024-06-30,109433000000.0000,USD,USD,1,entity_total_dimensionless_context,0000950170-24-087843,Form 10-K (FY2024),2024-annual,2024-07-30,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm,True,True,document_downloaded_http_200,candidate_source_supported
MICROSOFT CORP,sec,revenue,2024-annual,2023-07-01,2024-06-30,245122000000.0000,USD,USD,1,entity_total_dimensionless_context,0000950170-24-087843,Form 10-K (FY2024),2024-annual,2024-07-30,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm,True,True,document_downloaded_http_200,candidate_source_supported
MICROSOFT CORP,sec,eps,2025-annual,2024-07-01,2025-06-30,13.7000,USD,USD_PER_SHARE,1,entity_total_dimensionless_context,0000950170-25-100235,Form 10-K (FY2025),2025-annual,2025-07-30,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm,True,True,document_downloaded_http_200,candidate_source_supported
MICROSOFT CORP,sec,eps_diluted,2025-annual,2024-07-01,2025-06-30,13.6400,USD,USD_PER_SHARE,1,entity_total_dimensionless_context,0000950170-25-100235,Form 10-K (FY2025),2025-annual,2025-07-30,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm,True,True,document_downloaded_http_200,candidate_source_supported
MICROSOFT CORP,sec,net_income,2025-annual,2024-07-01,2025-06-30,101832000000.0000,USD,USD,1,entity_total_dimensionless_context,0000950170-25-100235,Form 10-K (FY2025),2025-annual,2025-07-30,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm,True,True,document_downloaded_http_200,candidate_source_supported
MICROSOFT CORP,sec,operating_income,2025-annual,2024-07-01,2025-06-30,128528000000.0000,USD,USD,1,entity_total_dimensionless_context,0000950170-25-100235,Form 10-K (FY2025),2025-annual,2025-07-30,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm,True,True,document_downloaded_http_200,candidate_source_supported
MICROSOFT CORP,sec,revenue,2025-annual,2024-07-01,2025-06-30,281724000000.0000,USD,USD,1,entity_total_dimensionless_context,0000950170-25-100235,Form 10-K (FY2025),2025-annual,2025-07-30,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm,True,True,document_downloaded_http_200,candidate_source_supported
NAVER,dart,eps,2024-annual,2024-01-01,2024-12-31,12702.0000,KRW,KRW_PER_SHARE,1,consolidated,20260313001021,사업보고서 (2025.12),2025-annual,2026-03-13,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260313001021,True,True,denial_page_http_200,candidate_source_supported
NAVER,dart,eps_diluted,2024-annual,2024-01-01,2024-12-31,12553.0000,KRW,KRW_PER_SHARE,1,consolidated,20260313001021,사업보고서 (2025.12),2025-annual,2026-03-13,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260313001021,True,True,denial_page_http_200,candidate_source_supported
NAVER,dart,operating_income,2024-annual,2024-01-01,2024-12-31,1979263438827.0000,KRW,KRW,1,consolidated,20260313001021,사업보고서 (2025.12),2025-annual,2026-03-13,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260313001021,True,True,denial_page_http_200,candidate_source_supported
NAVER,dart,revenue,2024-annual,2024-01-01,2024-12-31,10737719264647.0000,KRW,KRW,1,consolidated,20260313001021,사업보고서 (2025.12),2025-annual,2026-03-13,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260313001021,True,True,denial_page_http_200,candidate_source_supported
NAVER,dart,eps,2025-annual,2025-01-01,2025-12-31,13009.0000,KRW,KRW_PER_SHARE,1,consolidated,20260313001021,사업보고서 (2025.12),2025-annual,2026-03-13,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260313001021,True,True,denial_page_http_200,candidate_source_supported
NAVER,dart,eps_diluted,2025-annual,2025-01-01,2025-12-31,12907.0000,KRW,KRW_PER_SHARE,1,consolidated,20260313001021,사업보고서 (2025.12),2025-annual,2026-03-13,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260313001021,True,True,denial_page_http_200,candidate_source_supported
NAVER,dart,operating_income,2025-annual,2025-01-01,2025-12-31,2208138388720.0000,KRW,KRW,1,consolidated,20260313001021,사업보고서 (2025.12),2025-annual,2026-03-13,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260313001021,True,True,denial_page_http_200,candidate_source_supported
NAVER,dart,revenue,2025-annual,2025-01-01,2025-12-31,12035007218975.0000,KRW,KRW,1,consolidated,20260313001021,사업보고서 (2025.12),2025-annual,2026-03-13,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260313001021,True,True,denial_page_http_200,candidate_source_supported
NVIDIA CORP,sec,eps,2026-annual,2025-01-27,2026-01-25,4.9300,USD,USD_PER_SHARE,1,entity_total_dimensionless_context,0001045810-26-000021,Form 10-K (FY2026),2026-annual,2026-02-25,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,True,True,document_downloaded_http_200,candidate_source_supported
NVIDIA CORP,sec,eps_diluted,2026-annual,2025-01-27,2026-01-25,4.9000,USD,USD_PER_SHARE,1,entity_total_dimensionless_context,0001045810-26-000021,Form 10-K (FY2026),2026-annual,2026-02-25,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,True,True,document_downloaded_http_200,candidate_source_supported
NVIDIA CORP,sec,net_income,2026-annual,2025-01-27,2026-01-25,120067000000.0000,USD,USD,1,entity_total_dimensionless_context,0001045810-26-000021,Form 10-K (FY2026),2026-annual,2026-02-25,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,True,True,document_downloaded_http_200,candidate_source_supported
NVIDIA CORP,sec,operating_income,2026-annual,2025-01-27,2026-01-25,130387000000.0000,USD,USD,1,entity_total_dimensionless_context,0001045810-26-000021,Form 10-K (FY2026),2026-annual,2026-02-25,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,True,True,document_downloaded_http_200,candidate_source_supported
NVIDIA CORP,sec,revenue,2026-annual,2025-01-27,2026-01-25,215938000000.0000,USD,USD,1,entity_total_dimensionless_context,0001045810-26-000021,Form 10-K (FY2026),2026-annual,2026-02-25,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,True,True,document_downloaded_http_200,candidate_source_supported
SK하이닉스,dart,eps,2024-annual,2024-01-01,2024-12-31,28732.0000,KRW,KRW_PER_SHARE,1,consolidated,20260317000635,사업보고서 (2025.12),2025-annual,2026-03-17,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260317000635,True,True,denial_page_http_200,candidate_source_supported
SK하이닉스,dart,eps_diluted,2024-annual,2024-01-01,2024-12-31,28419.0000,KRW,KRW_PER_SHARE,1,consolidated,20260317000635,사업보고서 (2025.12),2025-annual,2026-03-17,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260317000635,True,True,denial_page_http_200,candidate_source_supported
SK하이닉스,dart,operating_income,2024-annual,2024-01-01,2024-12-31,23467319000000.0000,KRW,KRW,1,consolidated,20260317000635,사업보고서 (2025.12),2025-annual,2026-03-17,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260317000635,True,True,denial_page_http_200,candidate_source_supported
SK하이닉스,dart,revenue,2024-annual,2024-01-01,2024-12-31,66192960000000.0000,KRW,KRW,1,consolidated,20260317000635,사업보고서 (2025.12),2025-annual,2026-03-17,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260317000635,True,True,denial_page_http_200,candidate_source_supported
SK하이닉스,dart,eps,2025-annual,2025-01-01,2025-12-31,62044.0000,KRW,KRW_PER_SHARE,1,consolidated,20260317000635,사업보고서 (2025.12),2025-annual,2026-03-17,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260317000635,True,True,denial_page_http_200,candidate_source_supported
SK하이닉스,dart,eps_diluted,2025-annual,2025-01-01,2025-12-31,60378.0000,KRW,KRW_PER_SHARE,1,consolidated,20260317000635,사업보고서 (2025.12),2025-annual,2026-03-17,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260317000635,True,True,denial_page_http_200,candidate_source_supported
SK하이닉스,dart,operating_income,2025-annual,2025-01-01,2025-12-31,47206319000000.0000,KRW,KRW,1,consolidated,20260317000635,사업보고서 (2025.12),2025-annual,2026-03-17,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260317000635,True,True,denial_page_http_200,candidate_source_supported
SK하이닉스,dart,revenue,2025-annual,2025-01-01,2025-12-31,97146675000000.0000,KRW,KRW,1,consolidated,20260317000635,사업보고서 (2025.12),2025-annual,2026-03-17,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260317000635,True,True,denial_page_http_200,candidate_source_supported
"Tesla, Inc.",sec,eps,2025-annual,2025-01-01,2025-12-31,1.1800,USD,USD_PER_SHARE,1,entity_total_dimensionless_context,0001628280-26-003952,Form 10-K (FY2025),2025-annual,2026-01-29,https://www.sec.gov/Archives/edgar/data/1318605/000162828026003952/tsla-20251231.htm,True,True,document_downloaded_http_200,candidate_source_supported
"Tesla, Inc.",sec,eps_diluted,2025-annual,2025-01-01,2025-12-31,1.0800,USD,USD_PER_SHARE,1,entity_total_dimensionless_context,0001628280-26-003952,Form 10-K (FY2025),2025-annual,2026-01-29,https://www.sec.gov/Archives/edgar/data/1318605/000162828026003952/tsla-20251231.htm,True,True,document_downloaded_http_200,candidate_source_supported
"Tesla, Inc.",sec,net_income,2025-annual,2025-01-01,2025-12-31,3794000000.0000,USD,USD,1,entity_total_dimensionless_context,0001628280-26-003952,Form 10-K (FY2025),2025-annual,2026-01-29,https://www.sec.gov/Archives/edgar/data/1318605/000162828026003952/tsla-20251231.htm,True,True,document_downloaded_http_200,candidate_source_supported
"Tesla, Inc.",sec,operating_income,2025-annual,2025-01-01,2025-12-31,4355000000.0000,USD,USD,1,entity_total_dimensionless_context,0001628280-26-003952,Form 10-K (FY2025),2025-annual,2026-01-29,https://www.sec.gov/Archives/edgar/data/1318605/000162828026003952/tsla-20251231.htm,True,True,document_downloaded_http_200,candidate_source_supported
"Tesla, Inc.",sec,revenue,2025-annual,2025-01-01,2025-12-31,94827000000.0000,USD,USD,1,entity_total_dimensionless_context,0001628280-26-003952,Form 10-K (FY2025),2025-annual,2026-01-29,https://www.sec.gov/Archives/edgar/data/1318605/000162828026003952/tsla-20251231.htm,True,True,document_downloaded_http_200,candidate_source_supported
삼성전자,dart,eps,2023-annual,2023-01-01,2023-12-31,2131.0000,KRW,KRW_PER_SHARE,1,consolidated,20240312000736,사업보고서 (2023.12),2023-annual,2024-03-12,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240312000736,True,True,denial_page_http_200,candidate_source_supported
삼성전자,dart,eps_diluted,2023-annual,2023-01-01,2023-12-31,2131.0000,KRW,KRW_PER_SHARE,1,consolidated,20240312000736,사업보고서 (2023.12),2023-annual,2024-03-12,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240312000736,True,True,denial_page_http_200,candidate_source_supported
삼성전자,dart,net_income,2023-annual,2023-01-01,2023-12-31,15487100000000.0000,KRW,KRW,1,consolidated,20240312000736,사업보고서 (2023.12),2023-annual,2024-03-12,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240312000736,True,True,denial_page_http_200,candidate_source_supported
삼성전자,dart,net_income_attributable,2023-annual,2023-01-01,2023-12-31,14473401000000.0000,KRW,KRW,1,consolidated,20240312000736,사업보고서 (2023.12),2023-annual,2024-03-12,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240312000736,True,True,denial_page_http_200,candidate_source_supported
삼성전자,dart,operating_income,2023-annual,2023-01-01,2023-12-31,6566976000000.0000,KRW,KRW,1,consolidated,20240312000736,사업보고서 (2023.12),2023-annual,2024-03-12,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240312000736,True,True,denial_page_http_200,candidate_source_supported
삼성전자,dart,revenue,2023-annual,2023-01-01,2023-12-31,258935494000000.0000,KRW,KRW,1,consolidated,20240312000736,사업보고서 (2023.12),2023-annual,2024-03-12,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240312000736,True,True,denial_page_http_200,candidate_source_supported
삼성전자,dart,eps,2024-annual,2024-01-01,2024-12-31,4950.0000,KRW,KRW_PER_SHARE,1,consolidated,20260310002820,사업보고서 (2025.12),2025-annual,2026-03-10,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260310002820,True,True,denial_page_http_200,candidate_source_supported
삼성전자,dart,eps_diluted,2024-annual,2024-01-01,2024-12-31,4950.0000,KRW,KRW_PER_SHARE,1,consolidated,20260310002820,사업보고서 (2025.12),2025-annual,2026-03-10,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260310002820,True,True,denial_page_http_200,candidate_source_supported
삼성전자,dart,net_income,2024-annual,2024-01-01,2024-12-31,34451351000000.0000,KRW,KRW,1,consolidated,20260310002820,사업보고서 (2025.12),2025-annual,2026-03-10,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260310002820,True,True,denial_page_http_200,candidate_source_supported
삼성전자,dart,net_income_attributable,2024-annual,2024-01-01,2024-12-31,33621363000000.0000,KRW,KRW,1,consolidated,20260310002820,사업보고서 (2025.12),2025-annual,2026-03-10,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260310002820,True,True,denial_page_http_200,candidate_source_supported
삼성전자,dart,operating_income,2024-annual,2024-01-01,2024-12-31,32725961000000.0000,KRW,KRW,1,consolidated,20260310002820,사업보고서 (2025.12),2025-annual,2026-03-10,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260310002820,True,True,denial_page_http_200,candidate_source_supported
삼성전자,dart,revenue,2024-annual,2024-01-01,2024-12-31,300870903000000.0000,KRW,KRW,1,consolidated,20260310002820,사업보고서 (2025.12),2025-annual,2026-03-10,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260310002820,True,True,denial_page_http_200,candidate_source_supported
삼성전자,dart,eps,2025-annual,2025-01-01,2025-12-31,6605.0000,KRW,KRW_PER_SHARE,1,consolidated,20260310002820,사업보고서 (2025.12),2025-annual,2026-03-10,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260310002820,True,True,denial_page_http_200,candidate_source_supported
삼성전자,dart,eps_diluted,2025-annual,2025-01-01,2025-12-31,6603.0000,KRW,KRW_PER_SHARE,1,consolidated,20260310002820,사업보고서 (2025.12),2025-annual,2026-03-10,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260310002820,True,True,denial_page_http_200,candidate_source_supported
삼성전자,dart,net_income,2025-annual,2025-01-01,2025-12-31,45206805000000.0000,KRW,KRW,1,consolidated,20260310002820,사업보고서 (2025.12),2025-annual,2026-03-10,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260310002820,True,True,denial_page_http_200,candidate_source_supported
삼성전자,dart,net_income_attributable,2025-annual,2025-01-01,2025-12-31,44260956000000.0000,KRW,KRW,1,consolidated,20260310002820,사업보고서 (2025.12),2025-annual,2026-03-10,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260310002820,True,True,denial_page_http_200,candidate_source_supported
삼성전자,dart,operating_income,2025-annual,2025-01-01,2025-12-31,43601051000000.0000,KRW,KRW,1,consolidated,20260310002820,사업보고서 (2025.12),2025-annual,2026-03-10,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260310002820,True,True,denial_page_http_200,candidate_source_supported
삼성전자,dart,revenue,2025-annual,2025-01-01,2025-12-31,333605938000000.0000,KRW,KRW,1,consolidated,20260310002820,사업보고서 (2025.12),2025-annual,2026-03-10,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260310002820,True,True,denial_page_http_200,candidate_source_supported
현대자동차,dart,eps,2024-annual,2024-01-01,2024-12-31,47615.0000,KRW,KRW_PER_SHARE,1,consolidated,20260318001394,사업보고서 (2025.12),2025-annual,2026-03-18,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260318001394,True,True,denial_page_http_200,candidate_source_supported
현대자동차,dart,eps_diluted,2024-annual,2024-01-01,2024-12-31,47615.0000,KRW,KRW_PER_SHARE,1,consolidated,20260318001394,사업보고서 (2025.12),2025-annual,2026-03-18,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260318001394,True,True,denial_page_http_200,candidate_source_supported
현대자동차,dart,net_income,2024-annual,2024-01-01,2024-12-31,13229908000000.0000,KRW,KRW,1,consolidated,20260318001394,사업보고서 (2025.12),2025-annual,2026-03-18,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260318001394,True,True,denial_page_http_200,candidate_source_supported
현대자동차,dart,net_income_attributable,2024-annual,2024-01-01,2024-12-31,12526691000000.0000,KRW,KRW,1,consolidated,20260318001394,사업보고서 (2025.12),2025-annual,2026-03-18,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260318001394,True,True,denial_page_http_200,candidate_source_supported
현대자동차,dart,operating_income,2024-annual,2024-01-01,2024-12-31,14239592000000.0000,KRW,KRW,1,consolidated,20260318001394,사업보고서 (2025.12),2025-annual,2026-03-18,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260318001394,True,True,denial_page_http_200,candidate_source_supported
현대자동차,dart,revenue,2024-annual,2024-01-01,2024-12-31,175231153000000.0000,KRW,KRW,1,consolidated,20260318001394,사업보고서 (2025.12),2025-annual,2026-03-18,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260318001394,True,True,denial_page_http_200,candidate_source_supported
현대자동차,dart,eps,2025-annual,2025-01-01,2025-12-31,36088.0000,KRW,KRW_PER_SHARE,1,consolidated,20260318001394,사업보고서 (2025.12),2025-annual,2026-03-18,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260318001394,True,True,denial_page_http_200,candidate_source_supported
현대자동차,dart,eps_diluted,2025-annual,2025-01-01,2025-12-31,36088.0000,KRW,KRW_PER_SHARE,1,consolidated,20260318001394,사업보고서 (2025.12),2025-annual,2026-03-18,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260318001394,True,True,denial_page_http_200,candidate_source_supported
현대자동차,dart,net_income,2025-annual,2025-01-01,2025-12-31,10364775000000.0000,KRW,KRW,1,consolidated,20260318001394,사업보고서 (2025.12),2025-annual,2026-03-18,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260318001394,True,True,denial_page_http_200,candidate_source_supported
현대자동차,dart,net_income_attributable,2025-annual,2025-01-01,2025-12-31,9445987000000.0000,KRW,KRW,1,consolidated,20260318001394,사업보고서 (2025.12),2025-annual,2026-03-18,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260318001394,True,True,denial_page_http_200,candidate_source_supported
현대자동차,dart,operating_income,2025-annual,2025-01-01,2025-12-31,11467851000000.0000,KRW,KRW,1,consolidated,20260318001394,사업보고서 (2025.12),2025-annual,2026-03-18,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260318001394,True,True,denial_page_http_200,candidate_source_supported
현대자동차,dart,revenue,2025-annual,2025-01-01,2025-12-31,186254472000000.0000,KRW,KRW,1,consolidated,20260318001394,사업보고서 (2025.12),2025-annual,2026-03-18,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260318001394,True,True,denial_page_http_200,candidate_source_supported
